Name,type,price,vintage,alcohol,bottle size,country,region,grapespecies,producer,Text wine
Les Heritiers Saint-Genys Santenay Rouge 1er Cru Maladiere,Still Red Wine,£30.99,2017,13%,75cl,France,Burgundy,100% Pinot Noir,Héritiers,"Premiere The Loire Vouvray - A classic Vouvray, full of flavour and style. Pale straw in colour, with distinctive stone fruit aromas of apricot and peach with a touch of honey. The fruit flavours follow through on the palate with a touch of minerality, leaving a delicate and lingering finish."
Premiere The Loire Vouvray,Still White Wine,£9.55,2020,12.50%,75cl,France,Loire Valley,Chenin Blanc,Pierre Chainier,"Ferraton Pere & Fils Hermitage Les Miaux rouge - ""This tiny Northern Rhône estate continues to produce a colossal lineup of wines. While they pull from top estate terroirs around Hermitage and the Northern Rhône, they also have a large négoçiant line that’s loaded with value."" Jeb Dunnuck 2019. Blackcurrant - Meaty Notes - Plush Tannins 92 Points, The Wine Advocate"
Ferraton Pere & Fils Hermitage Les Miaux rouge,Still Red Wine,£52.99,2019,14.50%,75cl,France,Rhone,100% Syrah,Ferraton Pere & Fils,"Domaine La Provenquiere Marselan Pays d'Oc - Domaine La Provenquiere Marselan Pays d'Oc is an invitingly fruity wine with a rounded palate and gentle, silky tannins. Appealing aromas of wild berries are enveloped in spicy notes through to a soft and fruity finish."
Domaine La Provenquiere Marselan Pays d'Oc,Still Red Wine,£9.49,2019,13%,75cl,France,Languedoc,Marselan 100%,Domaine La Provenquiere,"Brezza Barolo Classico - Brezza Barolo Classico is an elegant yet racy Barolo with black cherry, plum and red berries layered with violet, rose, discreet hints of liquorice and an imperceptible touch of laurel. Lovely combination of freshness and ripeness with fine tannins in the background. Sold in single bottles"
Lamberti Pinot Grigio Blush,Rose,£9.29,12%,,ly,Veneto,100% Pinot Grigio,er: Lamberti,,"Poggio Alto Zinfandel Blush This salmon pink rosé has aromas of fresh berry fruit with a palate reminiscent of cranberries, cherries and plums. Sold in cases of six bottles"
Les Heritiers Saint-Genys Bourgogne Blanc,Still White Wine,£18.79,2018,13%,75cl,France,Burgundy,100% Chardonnay,Héritiers,
Fleurie La Madone Georges Duboeuf,Still Red Wine,£15.49,2020,13%,75cl,France,Beaujolais,100% Gamay,Georges Duboeuf,"Lucien Crochet Sancerre Rouge La Croix du Roy - Aromas of cherry, strawberry, blackberry and some vanilla on the nose. Medium bodied and silky on the palate, displaying red berry fruit mixed with savoury notes."
Lucien Crochet Sancerre Rouge La Croix du Roy,Still Red Wine,£31.99,2015,13%,75cl,France,Loire Valley,100% Pinot Noir,Lucien Crochet,Marchese Antinori Franciacorta Cuvee Royale - Superb traditional method fizz from the Antinori stable – crisp apple fruit with lemony finesse has acquired subtle richness and perfect tiny bubbles from extended time on the lees.Sold in single bottles
Pasquiers Grenache Gris Cinsault Rose,Rose,£6.89,2020,13%,75cl,France,Languedoc,Grenache Gris Cinsault,Pasquiers,AS SERVED IN THE BARS AT ROYAL ASCOT IN JUNE - BEST UK PRICE GUARANTEED!
Turckheim Pinot Blanc Terres de Granit,Still White Wine,£10.25,2017,12.50%,75cl,France,Alsace,"Auxerrois, Pinot Blanc",Cave Vinicole De Turckheim,"Yangarra Estate Roussanne - ""From its silky, slightly smoky, oriental fragrance, which somehow smells like pale gold, through its mellow middle to the fine drawn-out tannins of its tail, it is simply one smooth lovely ride. Its flesh is plush without pudge, its acid solid but reserved, its length, poise and form just perfect. It will live, mellow, burnish and bloom for many years in the cellar."" - Peter Fraser, winemaker"
La Reserve de Leoville Barton Saint Julien,Still Red Wine,£33.99,2014,13%,75cl,France,Bordeaux,"Cabernet Sauvignon 70%, Merlot 23%, Cabernet Franc 7%",Chateau Leoville Barton,"Chateau Minuty 281 Cotes de Provence Rose - A truly exquisite rose. The pale hue and translucent reflections of this rosé heralds a delicate wine with an intense and complex bouquet. The fineness of white fruit aromas is disclosed through iodine notes, giving it a unique character.Sold in single bottles"
Domaine du Monteillet Grand Duc du Monteillet St Joseph Blanc,Still White Wine,£23.89,2019,14%,75cl,France,Rhone,"Marsanne 58%, Roussanne 42%",Domaine De Monteillet,"Henners Native Grace - This is a limited production of only 980 bottles. Pale lemon in colour with a fine and delicate mousse. The nose is multi-layered with notes of ripe apple, lemon curd, brioche and marzipan. The complexity on the nose is mirrored on the palate with lovely ripe apple and lemon fruit which combine with autolytic characters such as sweet pastry and almonds."
Chateau Minuty 281 Cotes de Provence Rose,Rose,£52.49,2021,13%,75cl,France,Provence,"Grenache, Syrah, Cinsault",Minuty,"Alpha Box & Dice Dead Winemaker’s Society Dolcetto McLaren Vale - With a sweetly decomposing autumnal underbrush nose, the wine leads into a palate of ripe bitter cherries with a gently leafy tannic spine. Another deliciously more-ish Italianette varietal from AB&DSold in cases of six bottles"
Baron De Villeboerg Champagne Brut NV,Champagne,£23.79,,12%,75cl,France,Champagne,Pinot Noir,Baron De Villeboerg,"Gomez Cruzado Rioja Vendimia Seleccionada - Ripe and appealing blackberry and plum characters on the nose. The palate has vibrant berry fruit, juicy acidity, supple tannins and a note of sour cherry and spice on the finish."
Les Heritiers Saint-Genys Mercurey Rouge 1er Cru Clos Marcilly,Still Red Wine,£27.49,2014,13%,75cl,France,Burgundy,100% Pinot Noir,Héritiers,"Sancerre Thauvenay Domaine Masson-Blondelet - Harvested on hard limestone and chalky-flinty soils, this wine shows marvellous intensity, freshness and minerality, making it a perfect match with a platter of seafood and crustaceans. Sold in single bottles"
Sancerre Thauvenay Domaine Masson-Blondelet,Still White Wine,£23.49,2021,13%,75cl,France,Loire Valley,100% Sauvignon Blanc,Domaine Masson-Blondelet,"Les Lauriers Grenache Carignan - A soft and silky-textured red, with vibrant flavours of plum, cherry and cassis, succulent and smooth, with a hint of Mediterranean herbs to enliven the finish. A blend of local grapes Grenache and Carignan that combine well to provide a wine of rich flavour and excellent balance. Serve with seared tuna, grilled meat and charcuterie. Can be lightly chilled."
Chateau Maucoil Cotes du Rhone Villages Cuvee 1895,Still Red Wine,£15.49,2018,14%,75cl,France,Rhone,Grenache Noir 100%,Chateau Maucoil,"Dona Paula Altitude 1350 Mendoza - Dona Paula Altitude 1350 is a beautifully balanced wine with spicy and floral notes from the Cabernet Franc and vibrant red fruit notes from the Malbec. Elegant and well-structured with polished tannins which give a long, persistent finish.Sold in single bottles"
Les Lauriers Grenache Carignan,Still Red Wine,£9.29,2021,13%,75cl,France,Languedoc,"60% Grenache, 40% Carignan",Alma Cersius,"Bergerie du Capucin Dame Jeanne Blanc Saint Guilhem le Desert - Bergerie du Capucin Dame Jeanne Blanc Saint Guilhem le Desert is an expressive wine with aromas of mango, jasmine and star anise leading to a richly textured palate with balancing freshness and lovely flinty character which carries through to a long, elegant finish.Sold in single bottles"
Bergerie du Capucin Dame Jeanne Blanc Saint Guilhem le Desert,Still White Wine,£15.29,2019,13.50%,75cl,France,Languedoc,"Chardonnay 70%, Roussanne 15%, Viognier 15%",Bergerie Du Capucin,"Brezza Barbera d'Alba Superiore - Brezza Barbera d'Alba Superiore is a pure and modern reflection of Barbera with dark berried fruits, plum and cherry and a touch of delicate spice. The well-balanced palate shows great suavity, with fine-grained tannins and lifted sweet cherry fruit on the long finish.Sold in single bottles"
Gouffier Cuvee Madeleine Bourgogne Blanc,Still White Wine,£20.49,2019,13%,75cl,France,Burgundy,100% Chardonnay,Domaine Gouffier,"1753 Campuget Viognier - An elegant Viognier with hints of orange marmalade, apricot and ripe tropical fruits. Precise, crisp and balanced on the palate, with a roundness of generously structured fruit and a long, elegant finish. Sold in single bottles"
1753 Campuget Viognier,Still White Wine,£11.99,2021,13%,75cl,France,Costieres de Nimes,100% Viognier,Château De Campuget,"Barros Vintage Port 1996 - With wonderful intensity of colour, the 1996 vintage is full of floral aromas and rich, sweet fruits. The opulent palate explodes with fruit, complexity and structure wrapped in a deep elegance through to an endless finish.Sold in single bottles"
Chateau de Belleverne Beaujolais Villages,Still Red Wine,£10.49,2020,12.50%,75cl,France,Beaujolais,100% Gamay,Château De Belleverne,"Circa Pinot Grigio - This wine displays aromas and flavours of pear and green apples, with a pale straw yellow colour in the glass. The palate is crisp and fresh with lemony acidity and bright fruit characteristics.Sold in cases of 12 bottles"
Dopff au Moulin Riesling,Still White Wine,£13.59,2020,12.50%,75cl,France,Alsace,100% Riesling,Dopff Au Moulin,"Fincas Valdemacuco Crianza - It has an elegant red cherry colour, intense and bright. Mature fruit aromas dominate, as well as fine cocoa and creamy and balmy oak. Potent in mouth, with dark fruit flavours and ripe tannins. Complex and tasty.Sold in single bottles"
Terre Forti Trebbiano Chardonnay,Still White Wine,£6.75,12%,,ly,Emilia Romagna,"80% Trebbiano, 20% Chardonnay",er: Caviro,,"Tormaresca Chardonnay - Antinori put Umbrian Chardonnay on the map with Cervaro della Sala, and they are determined to repeat the feat in Puglia. This bright, fruity medium bodied Chardonnay showcases the purity and richness of Puglian fruit.Sold in single bottles"
Tormaresca Chardonnay,Still White Wine,£11.99,2020,,,ize: 75cl,: Italy,: Puglia,0% Chardonnay,"Turckheim Mayerling Brut Cremant d'Alsace - From the northerly French region comes this cool climate sparkler. Gently aromatic with nutty mineral hints, dry fruity taste with a touch of honey and more of that elegant mineral slooshing around with the light bubbles.Sold in cases of six bottles"
Les Oliviers Grenache Cinsault Rose Pays dOc,Rose,£6.79,2020,12.50%,75cl,France,Languedoc,"Grenache 70%, Cinsault 30%",Boutinot France,"Mahi Marlborough Pinot Noir - With a full, rich yet detailed bouquet, this wine is mouth filling, ripe and supple with good complexity. Dark cherries and plums combine with soft tannins to give a well rounded finish.Sold in single bottles"
Chateau Batailley 5eme Cru Classe Pauillac,Still Red Wine,£69.99,2015,13%,75cl,France,Bordeaux,"Cabernet Sauvignon 82%, Merlot 15%, Petit Verdot 2%, Cabernet Franc 1%",Château Batailley,"Minuty Prestige Cotes de Provence Rose - This light rosé wine expresses some very intense aromas of citrus fruit and white flowers. On the palate, a velvety texture combined with a fresh flavour gives this wine a certain ethereal quality.Sold in single bottles"
Valdivieso Merlot,Still Red Wine,£9.49,14%,,le,Rapel Valley,Merlot,er: Vina Valdivieso,,Ventolera Pinot Noir - An elegant and velvety wine showing great freshness and purity of Pinot raspberry fruit combined with a hint of mintSold in single bottles
Minuty Prestige Cotes de Provence Rose,Rose,£19.39,2021,12.50%,75cl,France,Provence,"70% Grenache, 20% Cinsault, 5% Syrah, 5% Tibouren",Minuty,Gomez Cruzado Honorable Rioja - An exquisite 'field blend' from the very careful selection of fruit from Gomez Cruzado's oldest vineyards.
Les Heritiers Saint-Genys Santenay Rouge,Still Red Wine,£25.99,2015,12.50%,75cl,France,Burgundy,100% Pinot Noir,Héritiers,Domaine du Monteillet Cote Rotie Monopole Bons Arrets - A top vintage from a top vineyard evolving beautifully.
Domaine Roblin Sancerre Blanc Enclos de Maimbray,Still White Wine,£18.99,2019,13%,75cl,France,Loire Valley,Sauvignon Blanc,Domaine Roblin,"Bibi Graetz Casamatta IGT Toscana Rosso - This wine is fruity and fresh but at the same time still a true expression of Sangiovese. This is a medium-bodied, juicy red offers plenty of dark red fruit in an accessible style underpinned with a bright accent of acidity.Sold in cases of six bottles"
Domaine du Monteillet Cote Rotie Monopole Bons Arrets,Still Red Wine,£65.99,2019,13%,75cl,France,Rhone,Syrah,Domaine Du Monteillet,Sentiers de Bagatelle Colline d’Assignan Rouge Saint-Chinian - This whole vintage was picked by hand and then destemmed. It was followed by a vatting varying between 20 days for the Grenache and 26-28 days for the Syrah and Carignan. Ageing took place in large casks before bottling.
Sentiers de Bagatelle Colline d’Assignan Rouge Saint-Chinian,Still Red Wine,£11.49,2017,13%,75cl,France,Languedoc,"Grenache Noir 50%, Syrah 30%, Carignan 20%",Clos Bagatelle,"Domaine La Provenquiere Marsanne Pays d'Oc -  Domaine La Provenquiere Marsanne Pays d'Oc A bright golden Marsanne, offers expressive aromas of dried apricot, quince with white floral top notes. Rich and rounded on the palate, with a delicate honey note on the finish. Deliciously moreish.Sold in single bottles"
Domaine La Provenquiere Marsanne Pays d'Oc,Still White Wine,£9.49,2020,13%,75cl,France,Languedoc-Roussillon,Marsanne 100%,Domaine La Provenquiere,"Brezza Nebbiolo Langhe - Brezza Nebbiolo Langhe is a wonderful expression of youthful Nebbiolo, with an aromatic bouquet of red berried fruits layered with rose, violet, citrus and orange peel. Fresh, with great purity and a smooth texture through to a lifted finish. Sold in single bottles"
Domaine Ferrand Lise Marie Pouilly-Fuisse,Still White Wine,£24.99,2018,13.50%,75cl,France,Burgundy,Chardonnay,Domaine Ferrand,"Andeluna 1300 Torrontes - Made at high altitude in the foothills of the Andes, this is an extremely complex white from the aromatic Torrontés grape. Crisp mineral and tropical flavours make for a delicious wine.Sold in single bottles"
Chateau de Belleverne Chenas Beaujolais,Still Red Wine,£11.29,2020,13.50%,75cl,France,Beaujolais,100% Gamay,Château De Belleverne,Circa Shiraz - Made from Shiraz grapes and little bit of Viognier too. A full bodied wine with black fruit flavours and a hint of spice.Sold in cases of six bottles
Domaine de la Solitude Chateauneuf-du-Pape Blanc,Still White Wine,£29.29,2020,13.50%,75cl,France,Rhone,"Clairette 55%, Roussanne 20%, Bourboulenc 15%, Grenache Blanc 10%",Domaine De La Solitude,"Ernst Gouws & Co Pinotage - A classic example of this uniquely South African red wine. Distinctively rich ruby in colour, with bold aromatics of dark chocolate, stewed fruit, spice and hints of coffee. Silky tannins over a backing of integrated oak ensures elegance and balance, with an endless finish.Sold in single bottles"
Dopff au Moulin Pinot Gris,Still White Wine,£14.99,2019,13%,75cl,France,Alsace,100% Pinot Gris,Dopff Au Moulin,"Fincas Valdemacuco Roble - The palate is rich, round and spicy with good acidity and concentration of fruit.Sold in single bottles"
Le Campuget Syrah Grenache Rose,Rose,£7.59,2021,12.50%,75cl,France,Languedoc,"Grenache 60%, Syrah 40%",Château De Campuget,"Montalto Organic Catarratto - Fruity, harmonious wine with hints of apples and nuts on the nose. Crisp yet rounded palate with notes of orange, citrus peel and herbs.Sold in single bottles"
"BriO de Cantenac Brown, Margaux",Still Red Wine,£37.99,2016,13%,75cl,France,Bordeaux,"Cabernet Sauvignon 45%, Merlot 45%, Cabernet Franc 10%",Château Cantenac Brown,JamesSuckling.com - 91 Points 
M de Minuty Rose Cotes de Provence,Rose,£14.89,2021,12.50%,75cl,France,Provence,"Grenache, Cinsault, Syrah",Minuty,"Radio-Coteau Harrison Grade Syrah Sonoma Coast - Harrison Grade is an Estate grown Syrah and is situated 800 ft. above sea level on a ridgetop above Occidental. Biodynamically farmed, hand-harvested, native fermented, and bottled in-house, Harrison Grade Sonoma Coast Estate Syrah is noteworthy and a true grape to glass, vertically- integrated expression by the crew at Radio-Coteau.Sold in single bottles"
Domaine Bouchie-Chatellier Pouilly-Fume Premier Millesime,Still White Wine,£20.29,2020,14%,75cl,France,Loire Valley,100% Sauvignon Blanc,Domaine Bouchie Chatellier,"Domaine Nicolas Delfaud Macon-Verze Rouge - Bright, juicy red fruits with a lovely ripe structure."
Chateau Maucoil Cotes-du-Rhone-Villages Rouge,Still Red Wine,£11.69,2020,14.50%,75cl,France,Rhone,"Grenache Noir 50%, Syrah 25%, Mourvèdre 25%",Chateau Maucoil,"Uggiano Chianti Colli Fiorentini - A fresh and approachable style of Chianti from Uggiano's estate in the hills south of Florence - aged for 6 months in large oak casks. Classy, satisfying and exceptional value."
Domaine Nicolas Delfaud Macon-Verze Rouge,Still Red Wine,£15.49,2020,14%,75cl,France,Burgundy,100% Gamay,Domaine Nicolas Delfaud,"Estampado Red Blend - Crafted from carefully selected ripe grapes to make a smooth, full-bodied wine."
Vieille Monnaie Pinot Noir Pays d’Oc,Still Red Wine,£8.99,2020,13%,75cl,France,Languedoc,100% Pinot Noir,Boutinot France,Domaine La Provenquiere Pur Grenache Gris sans sulfites ajoutes - Domaine La Provenquiere Pur Grenache Gris sans sulfites ajoutes is a refreshing and vibrant Grenache Gris with intense notes of white flowers and stone fruits. Pure citrus notes are layered with red apple and exotic fruits on the textured palate through to a crisp and zesty finish.
Bolney Estate Pinot Noir,Still Red Wine,£23.59,2020,,land,West Sussex,100% Pinot Noir,er: Bolney Estate,,"Bodegas Resalte de Penafiel Pena Roble Reserva Ribera del Duero - An intense and complex wine with delicious aromas of ripe, dark fruits, liquorice, mineral and spice with roasted notes from the oak ageing. The aromas are echoed on the palate which is smooth with fine grained tannins and a long finish. An elegant expression of Tempranillo.Sold in single bottles"
Domaine Berthelemot Puligny-Montrachet,Still White Wine,£36.99,2020,13%,75cl,France,Burgundy,100% Chardonnay,Domaine Berthelemot,"Brezza Barbera d'Alba Vigna Santa Rosalia - Brezza Barbera d'Alba Vigna Santa Rosalia is a vibrant and fruity red wine with enticing aromas of cherries and wild red-berried fruits following through onto the fresh and juicy palate, with hints of delicate spice on the finish.Sold in single bottles"
Domaine La Provenquiere Pur Grenache Gris sans sulfites ajoutes,Still White Wine,£11.49,2020,12.50%,75cl,France,Languedoc,Grenache Gris 100%,Domaine La Provenquiere,"Argento Chardonnay - This lightly oaked Chardonnay offers aromas of ripe tropical and stone fruits. Flavours of white peach, cantaloupe, honey and sweet spice are complemented by subtle minerality and vanilla, with a fresh, balanced and round finish.Sold in cases of six bottles"
Cave de Turckheim Grand Cru Brand Gewurztraminer,Still White Wine,£17.49,2016,12.50%,75cl,France,Alsace,Gewurztraminer,Cave Vinicole De Turckheim,"Chateau des Capitans Julienas - This wine displays a sumptuous deep red colour. Its complex nose offers an array of fruits, from peach to raspberry and black currant, with a subtle touch of cinnamon. Ample structure and excellent balance will allow this wine to age in bottle quite gracefully.Sold in single bottles"
Chateau d'Astros Rose Cotes de Provence,Rose,£12.49,2020,13%,75cl,France,Provence,"50% Grenache, 30% Syrah, 20% Cabernet Sauvignon",Domaine Dastros,"Cherubino Laissez Faire Field Blend - Floral blend of Pinot Gris, Gewurztraminer, Pinot Blanc and Sauvignon Blanc all lend itself to an exotic cacophony of passion fruit, rose petal and lychee. A gentle hint of oak adds texture and weight to the long finish.Sold in single bottles"
Chateau des Capitans Julienas,Still Red Wine,£15.79,2018,13.50%,75cl,France,Beaujolais,100% Gamay,Chateau Des Capitans,"Collavini Pinot Grigio Villa Canlungo - An elegant Pinot Grigio showing floral notes with characteristic hints of citrus fruits. On the palate, it is well balanced with delicate savoury notes enveloped in a silky texture and delivers a long, elegant finish.Sold in single bottles"
Cuvee Prestige Blanc Heraldique,Still White Wine,£8.15,2020,13%,75cl,France,Languedoc,"Viognier 50%, Colombard 42%, Sauvignon Blanc 8%",Heraldique,"Far Niente Chardonnay Napa Valley - This wine opens with delicate aromas of citrus blossom, honeydew melon, pear, flint and toasted almonds. The palate is silky with pear and citrus flavours. Refreshing acidity leads to a juicy finish, layered with toasted oak.Sold in single bottles"
Domaine de la Becassonne Cotes du Rhone Blanc,Still White Wine,£11.49,2019,13.50%,75cl,France,Rhone,"Roussanne 50%, Grenache Blanc 35%, Clairette 15%",Domaine André Brunel,"First Fleet Shiraz South Eastern Australia - A vibrant Shiraz that captures the pioneering spirit of the first voyages to Australia in a modern, easy drinking style. Mulberry and plum fruit mixes with spice on the smooth textured palate."
Vouvray Sec Cher et Tendre,Still White Wine,£8.99,2019,11.50%,75cl,France,Loire Valley,Chenin Blanc,Cher Et Tendre,"Comte de Senejac Haut-Medoc - Very deep colour with an expressive nose of black fruits and spices. Sénéjac is powerful and intense, while remaining smooth, thanks to the finesse of its tannins. A charming and distinguished wine that can be drunk young, when its fruity aromas are most enjoyable, or, even better, after ageing to discover the elegance and the richness of its terroir.Sold in single bottles"
Comte de Senejac Haut-Medoc,Still Red Wine,£15.69,2015,13%,75cl,France,Bordeaux,"Merlot 63%, Cabernet Sauvignon 37%",Château Sénéjac,
Domaine Pierre Naigeon Creux Brouillard Gevrey-Chambertin,Still Red Wine,£50.99,2018,13%,75cl,France,Burgundy,Pinot Noir,Domaine Pierre Naigeon,"Mas d’Alcyon Plan de Dieu Cotes du Rhone Villages - Full-bodied and textural with smooth, ripe tannins. The nose has liquorice and red and black fruit, which carry through to the palate with a salty, mineral edge. Structured yet approachable, the finish is long with hints of coffee and spice.Sold in single bottles"
Mas d’Alcyon Plan de Dieu Cotes du Rhone Villages,Still Red Wine,£10.39,2020,14.50%,75cl,France,Rhone,Grenache Noir/Syrah,Boutinot France,"La Perdrix Solitaire Malbec Pays d’Oc - Vibrant garnet with notes of mulberry and underlying redcurrant and blackcurrant aromas. Complex, with fine raspberry and red-fruit flavours backed by a touch of chocolate truffle richness. A mid-weight harmonious wine, an expression of purity and youthful fruitiness."
La Perdrix Solitaire Malbec Pays d’Oc,Still Red Wine,£7.99,2020,13%,75cl,France,Languedoc,100% Malbec,Boutinot France,"Giovanni Rosso Donna Margherita Barbera d'Alba - Giovanni Rosso Donna Margherita Barbera d'Alba has a bright nose full of plums, raspberries and blueberrie with some delicate wisteria hints. This is an very easy drinking Barbera with a vibrant acidity and fleshy and juicy fruit.Sold in cases of six bottles"
Domaine Berthelemot Puligny-Montrachet Les Levrons,Still White Wine,£37.49,2020,13.50%,75cl,France,Burgundy,Chardonnay,Domaine Berthelemot,"Argento Pinot Grigio Mendoza Argentina - This elegant Pinot Grigio offers delicate, floral aromas and tropical fruits. Light and clean with ripe pineapple and peach flavours, notes of chamomile and a bright crisp finish.Sold in cases of six bottles"
Cave de Turckheim Grand Cru Brand Pinot Gris,Still White Wine,£17.29,2015,12.50%,75cl,France,Alsace,100% Pinot Gris,Cave Vinicole De Turckheim,"Cherubino Sauvignon Blanc Pemberton - A complex, fruity wine with a hint of oak adding great texture to the fruit. A good intensity and balance with the ripe citrus and subtle tropical notes in the wine. It has a delicate acidity and good length. Intriguing and restrained, not your typical Sauvignon Blanc.Sold in single bottles"
Chateau du Belleverne Saint Amour Le Cru des Amoureux,Still Red Wine,£11.89,2020,14%,75cl,France,Beaujolais,100% Gamay,Domaine De La Porte Du Paradis,DECANTER MAGAZINE JUNE EDITION 96 POINTS - BEST UK PRICE GUARANTEED!
Chateau de l'Aumerade Aumerade Style Cotes de Provence,Rose,£10.89,2020,13.50%,75cl,France,Provence,"Grenache 70%, Cinsault 30%",Chateau De Laumerade,THIS WINE NOW HAS A SMART NEW MODERN LABEL AS SHOWN - SAME GREAT WINE IN THE BOTTLE!
Domaine Courbis Saint-Joseph Blanc,Still White Wine,£21.49,2020,13%,75cl,France,Rhone,"Marsanne 97%, Roussanne 3%",Domaine Courbis,"Echeverria Cabernet Sauvignon Gran Reserva - Intense aromas of strawberries, blackberries and cherries, smoothly blended with notes of coffee and tobacco. Round and silky on the palate, full bodied with a delicious and persistent finish.Sold in single bottles"
Gris Blanc Rose Gerard Bertrand,Rose,£10.39,2020,12.50%,75cl,France,Languedoc,Grenache Gris 100%,Gerard Bertrand,"Karu Chardonnay - On the nose there are aromas that recall tropical fruits, such as pineapple and peaches as well as herbal and mineral notes. The palate is well balanced and flavourful with natural acidity.Sold in cases of six bottles"
Chateau Merigot Cotes de Bourg,Still Red Wine,£12.89,2018,14.50%,75cl,France,Bordeaux,"Merlot 95%, Malbec 5%",Chateau Merigot,"Ulysses Napa Valley Christian Moueix - Ulysses offers tremendous opulence, it marries lavender and sage in voluptuous layers of blond tobacco and blue plum. A wine of great potential."
Gevrey Chambertin Vieilles Vignes Les Marchais Domaine Pierre Naigeon,Still Red Wine,£50.99,2016,13%,75cl,France,Burgundy,Pinot Noir,Domaine Pierre Naigeon,"Domaine Henry Pelle Menetou-Salon Morogues Le Silex du Carroir - Purity, substance and finesse: the hallmarks of fine, single-vineyard Loire Sauvignon Blanc."
Domaine Henry Pelle Menetou-Salon Morogues Le Silex du Carroir,Still White Wine,£17.99,2018,13%,75cl,France,Loire Valley,100% Sauvignon Blanc,Domaine Henry Pelle,Verne Malbec Nieto Senetiner - nspired by the fantastical literary universe of Jules Verne.
Domaine Chante Cigale Chateauneuf-du-Pape Rouge Vieilles Vignes,Still Red Wine,£36.99,2019,15%,75cl,France,Rhone,"Grenache 70%, Syrah 20%, Mourvèdre 10%",Domaine Chante Cigale,"Le Clos du Serres Le Palas Terrasses du Larzac - Syrah, Grenache and Carignan are expertly blended to create a wine brimming with charm and elegance. Savoury, meaty Syrah marries perfectly with fresh Carignan."
Le Clos du Serres Le Palas Terrasses du Larzac,Still Red Wine,£20.99,2016,14.50%,75cl,France,Languedoc,"Syrah 49%, Grenache Noir 32%, Carignan 19%",Le Clos du Serres,"Domaine Felines Jourdan Felines Picpoul de Pinet - 100% Piquepoul grapes. The grapes come from a parcel named ""Félines"", the closest to the Thau Lagoon. The wines stay on the lees for 6 months and here build its capacity to aged for 5 years. The wine has beautiful aromatic flavors of candied citrus fruits, white peach and chamomile.Sold in cases of six bottles"
Julien Brocard Chablis La Boissonneuse,Still White Wine,£28.49,2020,12.50%,75cl,France,Burgundy,100% Chardonnay,Julien Brocard,"Avamposti Slarina - Avamposti Slarina has a subtle, lifted nose of crushed red fruits and hints of wild herbs. Fresh and lively on the palate with nice purity of fruit, blackcurrant, forest fruits and sweet red cherry. Well structured with fine tannins and lightly spicy oak, fresh, delicate and sappy on the finish."
Cave de Turckheim Grand Cru Brand Riesling,Still White Wine,£17.29,2017,13%,75cl,France,Alsace,100% Riesling,Cave Vinicole De Turckheim,Domaine Chante Cigale Chateauneuf-du-Pape Blanc -  From one of the best white winemakers in Chateauneuf-du-Pape!
Domaine Chante Cigale Chateauneuf-du-Pape Blanc,Still White Wine,£21.99,2020,14.50%,75cl,France,Rhone,"Clairette, Roussanne, Grenache Blanc, Bourboulenc",Domaine Chante Cigale,"Domaine de la Pastoure Cotes De Provence Rose - Pale pink colour and bright, typical of this appellation. Great aromatic complexity with notes of red fruits, white peach and citrus.Sold in cases of six bottles"
Domaine Cheysson Chiroubles Clos Les Farges,Still Red Wine,£14.29,2019,13%,75cl,France,Beaujolais,100% Gamay,Domaine Cheysson,"Domaine Lafage Cote Rose - Fresh and fuity, intense with notes of citrus, peach and honey. Full flavoured palate, crisp acid finish and long mineral aftertaste.Sold in cases of six bottles"
Domaine de la Pastoure Cotes De Provence Rose,Rose,£11.99,2019,12.50%,75cl,France,Provence,"Grenache, Syrah, Cinsault",Domaine De La Pastoure,El Jardin de Lucia Albarino - Beautifully elegant and refreshing Albariño from the north western tip of Spain. Lifted citrus and stone fruit aromas with a hint of white spice. The palate is textural yet elegant with notes of peach and lemon. The finish has crisp acidity and a refreshing saline twist.Sold in cases of six bottles
Domaine Lafage Cote Rose,Rose,£9.49,2020,13%,75cl,France,Roussillon,"Syrah, Grenache Noir, Cabernet Sauvignon",Lafage,"El Viejo del Valle Pinot Noir - Deliciously long, bright, textural Pinot from cold, stony vineyards deep in the Maule Valleys old glacial riverbeds – some Vosges barrel fermentation adds complexity, depth and warm vanilla notes the finish.Sold in cases of six bottles"
Chateau Plaisance Bordeaux,Still Red Wine,£12.39,2015,14%,75cl,France,Bordeaux,"Merlot 90%, Cabernet Sauvignon 10%",Chateau Plaisance,"Vallet Freres Fixin La Croix Blanche - A generous, fruity Burgundy from Fixin. This is a new addition from Vallet Frères with fleshy strawberry aromas and a nice, weighty palate with some decent tannins."
Vallet Freres Fixin La Croix Blanche,Still Red Wine,£26.49,2013,12.50%,75cl,France,Burgundy,100% Pinot Noir,Vallet Freres,"Domaine Georges Vernay Maison Rouge Cote-Rotie - This Côte Rôtie is characterised by its combination of power with elegance. Pure, deep red fruits from old vines are supported by spicy aromas. Beautifully structured on the palate with silky, smooth tannins and toasted notes on the long, persistent finish.Sold in single bottles"
Domaine Georges Vernay Maison Rouge Cote-Rotie,Still Red Wine,£113.00,2016,12.50%,75cl,France,Rhone,100% Syrah,Domaine Georges Vernay,"Domaine Henry Pelle Sancerre La Croix au Garde - Ripe, soft lemon aromas with a round, full palate. This is vinous and finishes with a pure intensity that you'd expect in high quality Sauvignon Blanc."
